booking_id,user_id,show_id,booking_datetime,total_cost
142,2544,184,2025-02-15 19:07:47,1478
143,2383,3676,2025-03-01 00:09:58,400
144,1188,2360,2025-03-12 02:43:37,666
145,4718,2381,2025-03-09 21:03:47,640
146,128,2061,2025-03-12 14:30:13,800
147,1673,695,2025-02-21 10:07:46,400
148,3523,2721,2025-03-06 07:31:33,1139
149,4083,2559,2025-03-18 14:59:46,1063
150,3881,3433,2025-02-01 07:52:55,791
151,2668,2423,2025-03-18 20:52:50,536
152,4749,737,2025-02-22 14:30:07,1000
153,4753,105,2025-02-27 12:54:23,200
154,2335,3385,2025-02-05 13:56:29,200
155,4440,3436,2025-02-06 15:33:48,429
156,2416,3463,2025-02-14 14:40:12,963
157,3226,3951,2025-03-13 01:14:58,400
158,1965,1514,2025-02-10 20:02:29,1315
159,2613,208,2025-02-05 20:39:54,1199
160,1041,3537,2025-02-06 06:02:48,400
161,3311,699,2025-03-21 01:32:19,654
162,401,3872,2025-03-10 21:37:10,1000
163,3415,161,2025-03-01 20:08:51,812
164,4406,2104,2025-03-21 05:32:46,800
165,544,1174,2025-02-05 10:07:16,1128
166,3083,3398,2025-02-15 05:51:31,1000
167,4287,2409,2025-03-06 04:34:14,877
168,1850,1783,2025-01-27 15:25:26,492
169,2134,3192,2025-02-20 21:10:56,600
170,3447,1994,2025-03-19 22:12:06,634
171,2458,912,2025-03-04 16:37:09,1093
172,2658,3782,2025-03-16 00:57:07,673
173,1923,2051,2025-03-25 07:05:35,1104
174,3949,2602,2025-03-09 03:07:50,825
175,1690,3907,2025-02-21 11:50:17,1079
176,607,54,2025-03-11 13:32:55,974
177,336,2326,2025-03-04 16:41:14,800
178,4205,3252,2025-02-19 03:56:43,200
179,2510,120,2025-03-22 16:01:33,1403
180,544,3837,2025-02-15 22:28:03,800
181,3145,2805,2025-02-06 04:38:43,800
182,3331,35,2025-02-16 20:43:11,767
183,2633,673,2025-01-30 19:27:51,1000
184,1624,567,2025-02-06 17:00:44,551
185,1695,1514,2025-02-13 07:02:29,675
186,540,3893,2025-03-25 13:00:09,1295
187,2352,2810,2025-03-07 14:44:49,1177
188,2223,2911,2025-02-23 13:00:58,695
189,,3748,2025-03-02 18:37:25,733
190,2150,2538,2025-03-14 20:08:32,600
191,411,3787,2025-03-07 23:44:39,1000
192,463,1555,2025-02-07 23:36:06,1140
193,2979,2091,2025-02-28 00:22:41,888
194,1394,2759,2025-03-19 18:24:35,716
195,788,1728,2025-03-09 03:35:41,954
196,366,1533,2025-02-11 21:30:28,469
197,4683,1921,2025-03-08 00:12:17,800
198,1958,141,2025-03-27 11:22:25,400
199,474,2321,2025-03-11 16:19:27,684
200,4558,3484,2025-03-13 10:18:14,200
201,2300,781,2025-03-20 01:57:09,600
202,28,264,2025-02-22 23:11:41,519
203,524,2853,2025-03-24 23:23:20,400
204,982,2912,2025-01-26 02:22:07,1384
205,1827,2600,2025-02-09 23:44:16,1025
206,423,1887,2025-03-07 16:45:33,473
207,43,3484,2025-03-12 17:18:14,800
208,4669,3190,2025-02-08 11:02:17,1032
209,4938,3724,2025-02-15 08:31:53,400
210,3851,1273,2025-02-27 15:29:16,980
211,3726,3953,2025-02-19 12:24:48,836
212,4619,3802,2025-02-22 10:16:17,200
213,4664,3981,2025-03-23 10:33:54,1000
214,1450,187,2025-01-30 23:54:07,929
215,725,3994,2025-03-18 21:50:47,1107
216,2136,1977,2025-02-21 13:31:49,461
217,525,2943,2025-02-08 21:29:11,552
218,1135,3086,2025-02-09 03:13:43,800
219,2798,618,2025-02-14 20:08:12,1000
220,1748,1105,2025-03-18 02:21:08,744
221,1288,374,2025-02-16 06:05:29,766
222,125,1129,2025-02-24 16:41:38,946
223,2058,482,2025-02-23 09:43:54,431
224,1205,2994,2025-03-22 06:34:16,360
225,1311,2839,2025-03-01 20:04:30,808
226,4822,3814,2025-03-14 00:17:56,200
227,2330,1452,2025-03-26 23:11:19,1330
228,2308,3673,2025-03-21 22:27:20,476
229,4053,265,2025-03-12 05:38:37,800
230,3199,1145,2025-02-19 20:46:09,960
231,4077,2365,2025-03-07 15:38:50,200
232,1605,1579,2025-02-24 05:41:02,400
233,3508,1540,2025-03-17 14:39:52,785
234,93,2613,2025-01-28 22:32:32,1000
235,4734,3191,2025-02-09 17:52:52,200
236,2871,1593,2025-03-14 13:40:18,731
237,2684,76,2025-02-15 20:41:13,722
238,3464,442,2025-03-20 07:37:32,400
239,4488,2224,2025-02-03 15:42:21,800
240,2624,3231,2025-03-21 10:14:22,769
241,383,2139,2025-02-05 16:52:43,481
242,726,1915,2025-03-24 17:36:29,800
243,2884,2594,2025-01-28 06:27:56,731
244,1604,452,2025-02-17 03:03:45,628
245,4121,2709,2025-03-16 01:47:58,1238
246,645,1133,2025-03-18 20:11:25,200
247,4008,720,2025-04-01 06:50:11,905
248,2243,2477,2025-03-08 20:59:53,1000
249,2442,2275,2025-03-24 20:37:16,800
250,811,1937,2025-03-20 14:00:25,679
251,3675,2596,2025-02-23 05:54:55,755
252,3300,3585,2025-03-14 02:55:25,1050
253,4246,320,2025-03-26 14:28:14,400
254,853,3550,2025-02-27 06:48:56,844
255,1744,1131,2025-03-01 19:37:00,200
256,4091,2507,2025-02-03 08:05:21,817
257,1025,3036,2025-03-16 00:26:52,800
258,2353,1886,2025-03-12 06:58:36,200
259,1169,3213,2025-02-10 14:40:25,1239
260,3563,3506,2025-03-01 17:03:34,670
261,4857,13,2025-02-25 18:52:47,800
262,3324,1033,2025-03-15 05:52:38,387
263,2183,1021,2025-02-03 19:13:26,593
264,4546,3984,2025-02-10 07:47:33,983
265,3517,378,2025-03-07 18:24:27,1026
266,4398,2017,2025-02-24 18:25:21,672
267,2874,1576,2025-01-30 19:24:28,473
268,2780,2022,2025-02-10 03:07:12,1214
269,4953,223,2025-03-17 05:06:18,676
270,1920,3874,2025-03-17 05:24:50,970
271,1675,808,2025-03-27 04:30:41,1194
272,1746,3140,2025-02-20 13:51:13,559
273,108,2826,2025-02-28 19:06:43,1410
274,3081,3418,2025-03-22 23:18:58,1481
275,1729,3136,2025-02-12 01:33:37,400
276,515,2628,2025-03-11 14:29:54,1192
277,2514,3225,2025-02-25 06:56:17,800
278,114,2636,2025-02-19 05:10:29,400
279,1013,3596,2025-03-07 15:43:44,1168
280,4519,2113,2025-02-27 17:11:27,200
281,1309,2288,2025-03-10 01:20:43,1464
282,4297,401,2025-03-28 05:05:21,459
283,643,2966,2025-02-28 07:00:43,1209
284,1172,2352,2025-02-21 23:35:00,200
285,1572,1858,2025-02-16 15:38:00,200
286,2914,1811,2025-02-28 19:36:48,708
287,2376,3120,2025-02-18 14:28:29,1338
288,4226,9,2025-02-25 01:09:24,1494
289,3878,730,2025-03-10 04:08:37,430
290,4034,3472,2025-02-09 03:35:32,1299
291,3346,1012,2025-03-06 19:58:26,759
292,2108,174,2025-03-09 05:26:14,894
293,2156,786,2025-02-23 20:23:14,1000
294,1102,3996,2025-03-19 05:56:59,1473
295,4696,179,2025-02-17 10:26:42,598
296,3660,640,2025-02-22 12:52:11,907
297,2129,2819,2025-02-15 21:09:47,1158
298,4266,176,2025-02-16 22:40:19,200
299,31,3196,2025-02-08 23:54:39,1002
300,4664,2794,2025-02-20 05:01:05,767
301,3957,152,2025-03-04 18:13:01,1287
302,4953,3182,2025-03-06 17:24:49,733
303,2849,2575,2025-02-21 03:13:54,420
304,1601,3617,2025-03-05 17:29:26,200
305,4467,3585,2025-03-22 21:55:25,768
306,327,2516,2025-03-07 09:52:09,517
307,3150,107,2025-03-09 00:11:05,1455
308,2499,1789,2025-03-03 04:22:04,1000
309,3530,1424,2025-02-08 03:02:32,400
310,328,3852,2025-03-23 18:39:43,398
311,1593,1679,2025-02-19 21:11:01,551
312,1251,600,2025-03-03 05:42:21,200
313,2250,855,2025-03-21 16:28:40,200
314,3108,624,2025-03-11 17:08:38,610
315,2592,680,2025-03-02 23:50:10,981
316,2998,2455,2025-02-28 17:13:22,1264
317,1747,72,2025-03-15 19:30:32,1060
318,1252,2780,2025-03-28 08:40:11,400
319,2106,3954,2025-03-20 12:46:07,590
320,4886,3069,2025-02-20 05:35:19,1000
321,3980,3893,2025-04-02 08:00:09,1000
322,22,2181,2025-02-05 00:29:25,709
323,1736,3507,2025-03-10 05:38:46,1000
324,4228,2775,2025-02-24 06:23:44,633
325,1993,3381,2025-03-01 21:21:40,400
326,2713,1728,2025-03-17 18:35:41,1000
327,2095,3146,2025-03-05 01:59:42,1000
328,4926,1672,2025-03-22 22:39:21,799
329,2127,3171,2025-03-06 04:58:35,846
330,4095,3275,2025-03-19 16:36:09,400
331,3152,2215,2025-02-20 15:49:06,200
332,949,1107,2025-03-12 20:09:55,800
333,158,1816,2025-01-28 02:15:44,600
334,623,3536,2025-03-10 01:35:25,400
335,3463,983,2025-02-20 12:25:12,960
336,3549,2193,2025-03-28 03:26:41,200
337,1857,705,2025-03-25 12:20:35,667
338,1410,370,2025-03-06 18:08:03,747
339,2534,3977,2025-03-19 22:13:20,818
340,2938,320,2025-03-14 15:28:14,800
341,3718,1206,2025-03-10 05:37:02,1000
342,446,3473,2025-02-07 03:59:38,1000
343,2041,3963,2025-02-01 17:29:01,1008
344,4477,2072,2025-02-25 03:16:50,200
345,501,2212,2025-02-28 14:01:12,200
346,2496,1626,2025-02-17 17:01:42,587
347,4728,2619,2025-03-06 14:59:38,800
348,4951,2320,2025-02-23 06:12:25,768
349,1805,1653,2025-03-03 05:25:26,1000
350,2155,362,2025-02-13 06:51:35,332
351,3078,1232,2025-02-26 13:54:03,900
352,4712,3502,2025-02-11 09:10:42,1045
353,3147,1635,2025-03-27 03:08:41,400
354,707,1299,2025-03-15 03:17:05,1000
355,865,3247,2025-03-26 21:46:41,828
356,3136,180,2025-02-02 18:10:51,587
357,2269,3146,2025-03-12 08:59:42,800
358,2352,3373,2025-02-11 22:49:45,878
359,4819,2137,2025-03-05 19:40:20,600
360,4292,2845,2025-03-19 13:51:28,897
361,3512,1506,2025-02-18 20:39:48,611
362,3427,480,2025-03-05 15:10:27,980
363,4291,2941,2025-03-01 23:01:35,1000
364,2394,1909,2025-01-31 19:31:30,400
365,866,3727,2025-02-18 01:19:40,822
366,2645,974,2025-03-25 08:39:19,1321
367,2315,265,2025-03-07 09:38:37,652
368,3281,533,2025-03-03 05:21:43,600
369,4121,2133,2025-03-24 11:52:56,200
370,4332,1838,2025-03-06 16:30:30,1066
371,1266,3567,2025-03-06 12:26:48,1206
372,1880,2358,2025-03-16 13:33:10,346
373,1351,1584,2025-02-25 09:21:27,771
374,231,114,2025-02-14 19:05:00,1000
375,2263,3668,2025-02-08 07:18:36,1468
376,4107,987,2025-02-17 02:42:58,352
377,2937,1401,2025-03-17 05:40:09,795
378,729,3113,2025-03-08 19:49:18,400
379,2372,2878,2025-03-17 23:56:31,600
380,4816,468,2025-03-09 14:09:27,749
381,2626,2356,2025-03-09 03:54:02,400
382,1181,1040,2025-02-05 16:32:01,1014
383,720,76,2025-02-21 15:41:13,311
384,973,3179,2025-02-20 12:02:16,550
385,543,2462,2025-02-11 11:31:34,200
386,496,2414,2025-02-01 12:58:17,612
387,2021,461,2025-01-29 05:12:50,1202
388,678,2482,2025-03-15 14:35:32,1373
389,4032,1422,2025-03-24 14:19:00,1000
390,3700,1548,2025-03-05 22:39:59,800
391,2757,1896,2025-03-16 20:50:38,1238
392,3944,3471,2025-02-02 02:42:47,400
393,2579,56,2025-03-05 02:49:21,400
394,2798,1948,2025-03-11 14:21:49,600
395,1188,1660,2025-02-13 10:44:20,829
396,2244,1028,2025-03-27 18:31:01,400
397,4193,13,2025-02-25 02:52:47,792
398,4670,3237,2025-02-19 13:27:37,400
399,717,1931,2025-03-06 20:02:41,200
400,3735,3001,2025-03-13 07:29:25,980
401,722,3296,2025-03-27 07:09:55,1048
402,543,1231,2025-02-20 10:53:37,1253
403,1078,215,2025-02-24 01:27:39,1270
404,4680,2634,2025-02-15 17:21:39,623
405,4033,3903,2025-02-10 20:34:48,1204
406,2600,3710,2025-03-04 10:13:00,400
407,2940,2880,2025-03-18 02:38:02,499
408,3713,223,2025-03-15 20:06:18,1493
409,750,3853,2025-03-21 12:33:33,361
410,3156,2817,2025-02-07 18:28:11,610
411,3129,3829,2025-01-27 21:31:29,970
412,1681,2049,2025-03-12 20:38:14,1103
413,743,278,2025-02-19 19:10:05,800
414,2270,1909,2025-02-08 00:31:30,1477
415,3534,1031,2025-02-20 22:41:40,858
416,1603,340,2025-03-15 19:01:17,667
417,4028,3257,2025-02-04 23:05:14,448
418,1210,2092,2025-02-08 01:39:40,906
419,787,3102,2025-01-30 07:30:57,1432
420,3019,2886,2025-03-10 08:51:27,800
421,2506,41,2025-03-19 23:24:55,424
422,1639,3347,2025-03-11 18:43:27,548
423,3120,2501,2025-02-23 14:05:44,600
424,1919,2410,2025-02-28 11:34:09,1000
425,3831,2161,2025-03-01 04:29:49,799
426,1868,1585,2025-02-26 00:57:59,606
427,344,314,2025-02-03 20:31:09,1056
428,205,58,2025-03-08 01:56:30,725
429,4974,3043,2025-03-18 03:37:14,600
430,3564,1056,2025-03-23 13:36:37,600
431,2965,583,2025-02-21 00:05:52,200
432,3589,556,2025-02-07 08:14:30,1057
433,2372,494,2025-01-26 06:47:34,487
434,2970,3161,2025-02-26 00:42:15,1454
435,69,1202,2025-03-13 12:41:12,484
436,1662,2482,2025-03-12 14:35:32,600
437,655,1397,2025-02-10 17:55:54,761
438,3702,3987,2025-03-04 21:39:18,382
439,1724,495,2025-03-17 22:38:53,1431
440,2711,2098,2025-03-29 13:23:03,1142
441,2644,1288,2025-03-10 05:20:08,723
442,2788,8,2025-03-18 21:17:02,200
443,3959,1968,2025-02-10 18:16:59,1213
444,1458,337,2025-03-19 06:30:49,1433
445,3458,285,2025-02-24 17:47:14,1329
446,2026,3981,2025-03-23 14:33:54,682
447,1872,2146,2025-03-01 11:30:50,800
448,2309,1381,2025-03-18 08:38:41,800
449,227,2938,2025-03-31 06:25:03,722
450,894,3926,2025-02-01 16:45:17,400
451,250,1347,2025-02-17 05:58:52,545
452,1029,3377,2025-02-10 16:27:28,878
453,4594,1988,2025-02-24 03:03:11,400
454,4194,840,2025-03-08 03:17:48,925
455,1403,500,2025-03-18 06:36:04,845
456,4201,1493,2025-03-13 05:32:22,949
457,1521,3569,2025-02-12 19:22:40,320
458,1669,844,2025-02-25 20:01:50,1215
459,3393,2620,2025-03-05 04:54:25,600
460,2083,880,2025-03-03 15:33:55,969
461,913,832,2025-02-24 19:08:21,1209
462,4560,2214,2025-03-07 16:47:11,627
463,4523,3715,2025-02-21 13:03:21,400
464,3681,1266,2025-02-08 19:10:02,800
465,2863,3092,2025-03-23 05:57:14,800
466,4461,2029,2025-02-23 10:20:31,1000
467,1054,1084,2025-02-13 11:24:20,1488
468,4663,3455,2025-03-14 15:48:52,1000
469,1052,3033,2025-03-07 03:56:04,372
470,4473,1407,2025-02-27 07:28:01,1000
471,3108,1836,2025-02-05 01:37:50,413
472,4596,3548,2025-03-25 01:12:43,600
473,4193,3642,2025-03-07 14:54:35,381
474,3948,1727,2025-02-07 19:58:21,543
475,3545,94,2025-02-04 03:43:59,800
476,4419,2202,2025-03-05 19:22:24,935
477,3885,1121,2025-03-21 08:12:03,734
478,4696,384,2025-02-01 04:51:53,1018
479,527,720,2025-03-22 03:50:11,1000
480,2647,3420,2025-02-12 17:30:43,709
481,1056,3541,2025-02-05 20:01:24,600
482,415,698,2025-03-25 08:44:51,621
483,1095,916,2025-02-11 18:03:50,200
484,1780,3803,2025-01-31 03:47:53,600
485,248,1205,2025-03-08 22:24:03,1276
486,3039,2824,2025-02-13 02:30:26,1000
487,3489,3885,2025-02-28 13:23:57,868
488,2329,3825,2025-03-23 05:46:16,800
489,2974,2305,2025-03-06 04:58:27,400
490,2465,1295,2025-01-30 02:45:22,800
491,1844,1419,2025-02-20 19:50:22,1264
492,4191,3147,2025-03-18 13:39:27,985
493,773,3869,2025-02-13 17:25:35,806
494,2944,2503,2025-03-29 17:12:11,372
495,3350,2538,2025-03-25 16:08:32,1312
496,1767,3621,2025-03-11 16:49:07,600
497,3286,1876,2025-03-13 11:28:44,419
498,672,2202,2025-03-03 13:22:24,400
499,2031,636,2025-02-06 13:49:38,1000
500,2048,886,2025-03-07 02:50:31,1106
501,3202,2422,2025-03-04 11:13:09,1056
502,1139,880,2025-02-26 07:33:55,1000
503,1848,3386,2025-03-23 10:34:14,598
504,3756,2662,2025-02-27 02:21:14,800
505,1423,1723,2025-02-04 16:24:18,1351
506,3179,3037,2025-03-19 17:24:18,605
507,1752,1904,2025-03-25 22:34:47,200
508,3371,1954,2025-01-30 11:03:31,400
509,1548,2798,2025-02-23 07:26:54,800
510,1712,2365,2025-03-01 05:38:50,899
511,3160,2946,2025-02-27 10:36:25,665
512,2904,3494,2025-02-27 16:33:15,733
513,945,3038,2025-02-03 14:53:24,600
514,4492,204,2025-02-26 22:40:38,200
515,4870,3729,2025-03-04 01:02:02,543
516,3376,1681,2025-03-20 05:58:27,400
517,3042,618,2025-02-13 07:08:12,1179
518,2522,1072,2025-02-19 09:02:30,935
519,1492,2683,2025-02-16 06:01:48,200
520,1091,2874,2025-04-05 19:30:37,1459
521,4530,3125,2025-02-23 16:36:23,1282
522,1550,706,2025-03-02 02:59:36,833
523,1431,2897,2025-03-17 06:35:06,600
524,2453,1240,2025-02-04 18:29:45,776
525,4414,308,2025-02-14 13:35:50,800
526,2962,1455,2025-03-01 05:16:17,800
527,2523,1935,2025-02-16 03:42:11,1237
528,2758,1018,2025-02-05 12:12:15,1291
529,4022,1994,2025-03-14 05:12:06,200
530,715,829,2025-02-08 00:18:22,1064
531,1154,2494,2025-03-24 21:44:14,357
532,3983,3616,2025-02-05 13:22:26,742
533,2269,1438,2025-03-19 11:19:38,427
534,4668,1873,2025-02-05 06:05:36,1000
535,4628,3015,2025-02-13 02:24:50,400
536,1972,733,2025-03-02 18:39:07,200
537,4909,3944,2025-01-25 15:52:16,342
538,4375,1246,2025-01-24 03:34:38,1368
539,793,3826,2025-03-16 07:40:41,1252
540,1806,1862,2025-01-30 11:37:59,712
541,4896,387,2025-02-13 03:48:17,589
542,4458,3166,2025-02-27 20:30:53,200
543,272,2341,2025-03-05 21:16:13,600
544,418,1402,2025-03-20 07:34:16,1274
545,3869,2864,2025-03-08 06:49:59,800
546,446,1393,2025-02-04 13:58:59,200
547,3636,2794,2025-02-07 12:01:05,657
548,4637,3289,2025-03-01 15:11:11,200
549,2037,2352,2025-02-21 22:35:00,1024
550,4748,1835,2025-03-12 01:52:25,600
551,1121,2576,2025-02-13 09:08:53,832
552,181,2215,2025-02-21 01:49:06,1000
553,410,2670,2025-02-02 19:21:36,897
554,1636,375,2025-02-02 04:23:58,800
555,3118,3906,2025-02-08 20:29:36,1340
556,4875,2491,2025-01-26 04:12:59,200
557,2363,768,2025-03-19 03:13:40,200
558,4511,3130,2025-02-28 07:48:06,1057
559,1348,3496,2025-03-10 23:42:59,492
560,3786,222,2025-02-04 07:00:12,738
561,1600,2225,2025-02-09 01:55:32,600
562,3524,2083,2025-03-13 02:15:09,800
563,188,3084,2025-02-05 15:03:25,600
564,1596,2305,2025-02-27 19:58:27,1000
565,1714,3956,2025-02-04 13:23:13,752
566,2990,815,2025-02-25 12:51:48,431
567,1990,695,2025-02-26 05:07:46,556
568,2524,3386,2025-03-17 23:34:14,385
569,1165,2234,2025-03-16 04:56:24,200
570,738,897,2025-03-20 14:17:11,836
571,2526,2992,2025-03-10 18:51:48,864
572,3894,3464,2025-03-18 21:30:29,400
573,4843,3693,2025-04-02 14:20:18,1161
574,3182,1692,2025-03-26 22:42:22,1093
575,1022,545,2025-03-14 13:15:59,400
576,2646,172,2025-02-01 19:43:00,1238
577,2058,3870,2025-03-03 13:07:37,800
578,4386,3810,2025-03-19 13:57:18,839
579,3112,75,2025-03-04 05:59:09,1286
580,2153,3161,2025-02-27 18:42:15,1000
581,2081,3288,2025-03-15 23:07:20,788
582,4545,1112,2025-02-02 08:02:44,1015
583,4163,735,2025-02-12 22:05:36,1060
584,2845,329,2025-03-19 09:10:04,600
585,4316,2344,2025-02-12 08:46:15,200
586,382,3726,2025-01-31 05:00:39,1122
587,2374,1326,2025-02-11 17:51:50,423
588,1044,2980,2025-03-04 12:33:40,1332
589,2642,1941,2025-02-25 17:39:18,563
590,1311,124,2025-02-27 11:10:55,1000
591,848,2284,2025-03-15 09:41:48,600
592,446,2060,2025-03-14 10:26:57,873
593,1708,1618,2025-02-07 02:25:09,1103
594,3468,2008,2025-02-01 14:49:38,429
595,2091,2376,2025-03-20 10:08:53,566
596,616,1616,2025-02-09 07:27:06,625
597,3115,1787,2025-02-21 12:02:16,410
598,2936,3632,2025-03-10 06:42:22,600
599,626,1680,2025-03-19 20:03:30,936
600,3753,3636,2025-02-10 05:04:18,1350
601,116,271,2025-02-08 06:49:10,200
602,1162,407,2025-03-30 10:18:09,800
603,176,1707,2025-03-21 23:36:34,827
604,2278,2380,2025-03-05 21:59:25,1309
605,1935,1393,2025-01-30 05:58:59,774
606,1436,90,2025-02-07 23:38:55,1337
607,2820,1949,2025-01-31 20:27:51,600
608,2936,859,2025-03-09 05:25:30,1321
609,660,2835,2025-02-18 01:30:52,625
610,1302,734,2025-02-07 02:11:59,400
